X,Y,id,amenity,created_by,ref,wheelchair,source,wetap:photo,wetap:status,wetap:statusnote,note:it,description,indoor,fixme,comment:it,comment,name,note,access,comment:en
9.1531642,45.4610224,node/27730703,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.2253513,45.4975575,node/265654308,drinking_water,,,,,,,,,,,,,,,,,
9.2227355,45.495164,node/265654315,drinking_water,,,,,,,,,,,,,,,,,
9.2233939,45.4926708,node/265654325,drinking_water,,,,,,,,,,,,,,,,,
9.2254668,45.494076,node/265654348,drinking_water,,,,,,,,,,,,,,,,,
9.2223244,45.4947183,node/265654353,drinking_water,,,,,,,,,,,,,,,,,
9.2341994,45.5036987,node/279790739,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.1980003,45.4957964,node/280124502,drinking_water,,,,,,,,,,,,,,,,,
9.199936,45.4986239,node/280348043,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.2197768,45.5135785,node/280500735,drinking_water,,,,,,,,,,,,,,,,,
9.1564834,45.5171405,node/281434918,drinking_water,,382,,,,,,,,,,,,,,,
9.1568328,45.5147138,node/281436386,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.1662037,45.515754,node/281443244,drinking_water,,,,,,,,,,,,,,,,,
9.1668405,45.5171036,node/281443247,drinking_water,,,,,,,,,,,,,,,,,
9.1756441,45.5019047,node/281449717,drinking_water,,,,,,,,,,,,,,,,,
9.1672501,45.4584011,node/281579462,drinking_water,,,yes,,,,,,,,,,,,,,
9.16037,45.4701244,node/282014090,drinking_water,Potlatch 0.10a,,,,,,,,,,,,,,,,
9.1597262,45.4700161,node/282014241,drinking_water,Potlatch 0.10a,,,,,,,,,,,,,,,,
9.1616488,45.4709129,node/282014367,drinking_water,Potlatch 0.10a,,,,,,,,,,,,,,,,
9.1909798,45.4891677,node/282314357,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.1397136,45.4441519,node/282454251,drinking_water,,,,,,,,,,,,,,,,,
9.1978708,45.4738047,node/282534296,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.1993964,45.473671,node/282534297,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.2000336,45.4746081,node/282534298,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.2038858,45.4737824,node/282534300,drinking_water,,027,yes,,,,,,,,,,,,,,
9.206309,45.5120922,node/283207660,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.2318354,45.4683131,node/283838331,drinking_water,,,,,,,,,,,,,,,,,
9.237779,45.4909408,node/283849744,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.1895524,45.500884,node/286599624,drinking_water,,,,,,,,,,,,,,,,,
9.1352009,45.5164506,node/292989962,drinking_water,JOSM,,,,,,,,,,,,,,,,
9.1284322,45.4806372,node/299439766,drinking_water,Potlatch 0.10b,,,,,,,,,,,,,,,,
9.1594824,45.4620254,node/306596229,drinking_water,,,,,,,,,,,,,,,,,
9.2259239,45.4771017,node/310071910,drinking_water,,,,,,,,,,,,,,,,,
